,评论
62,这么一项国家层面的举措，这才开学三周，就靠个网络调查就准备下结论有点早哦。且不说，这项问卷调查是通过学校下发，并在班级家长群里通知并接龙，已经暗示，并给标准答案了。客观公正性是需要打个打折扣的。跑题，最讨厌的就是一边要问卷一边给标准答案，评选个文明城市也这样，仿佛如果我实事求是，我就是他们的罪人似的。这种形式主义和官僚主义，最近都很盛行哦！这不是好事情，容易造成高层判断失误。害人哦。
63,"看了下评论，负面太多。不咋写回答的孩子家长要回复一下，正方也要发个声。我孩子在上海闵行某小学。问卷就是家长匿名写的。老师只让大家都去网上填写问卷，未干扰任何内容。而且还告诉我们是匿名的。双减后继续执行上学期晚托到5：30或选择6：00或者可以自愿选择正常放学。我觉得家长可根据需求，满足不同家庭情况。但明显这学期晚托的孩子比上学期多很多。我们孩子从上学期拖到5：30。采用大家集中，老师轮流看护的形式，孩子逐渐养成独立完成作业的习惯，上学期成绩并没有下滑。作业这次明确不用家长批阅，老师能做到按要求公示。家长每天只需家校联系册签字。我回到了我们父母小时候学习看护我们状态，作业做完了吗？做完了大笔一挥签个字就行。当然作为新时代家长还是会看看老师批改的作业错的情况，根据出错的地方周末帮着弄弄。躺平之后退了学而思班，省了钱和接送精力正考虑假期是否能抽空领着博物馆，图书馆溜溜。真正丰富下知识和扩展下思维。不用再卷三年级学会学而思水母等单词。二生三的what.,where等语法句子使用其实通过补课只会老师讲的题并不能活学活用，还要靠课后家长跟着抓和补。这种英语的内卷也无休无止。任何政策都有优缺点，我觉得既然已经出了政策，教育系统和家长顺应时代要求，做好自己的工作。发挥政策最大的优势少点抱怨，多花点时间想怎么提高。不是很好嘛！改革后老师辛苦了如果能配套补助要发足，这样老师没有怨气认真工作也是对我们孩子好。我作为家长双减政策平复了我内卷的焦虑和压力，我是真正拥护的。至于说请私教的。请的起好的私教的家庭阶层，本来就不属于我们小老百姓阶层，又有啥可担心的那？"
64,01如果有100%满意的教育，那是啥教育请看一个心理寓言故事：一个小学生，得了上学恐惧症，去看心理咨询师。咨询师：老师布置的作业，你感到满意吗？小学生：非常满意，作业不多不少，刚好。咨询师：老师要求的作业时间，你感到满意吗？小学生：非常满意，时间不多不少，刚好。咨询师：学校开展的兴趣班，你感到满意吗？小学生：非常满意。咨询师：学校开展的课后服务，你感到满意吗？小学生：非常满意。咨询师：哦，看来双减工作的各项措施和成效，你都是非常满意的。小学生：是的，非常满意。咨询师：那么，我想了解下，你不想上学，是对双减有那些不满意的呢？小学生：没有啦。我只是不满意我自己。双减工作的目标之一人民群众教育满意度明显提升。从目前22天的减负工作成效来说，满意度还挺高的。基础教育“双减工作”监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。我脑海在盘旋如果那一天，我们真的办成了人民群众100%满意的教育那是不是说，我们的教育已经是全球第一，宇宙无敌的好教育了呢02仅22天的大干快上，有违教育规律很多年前推行的素质教育，也就是学生减负，那时也很多人都满意的。结果呢?鸡娃满天飞，鸡犬不宁。现在，推行双减，97.5%的家长表示满意。多年的顽疾，仅用22天，就取得了卓有成效的成绩。万事万物，都有它的发展、消亡规律早不得一分钟，晚不得一分钟。即使是身上的肿瘤，也不是快刀一挥，刀下瘤除。教育减负这个多年的顽疾，也不例外。毕竟，冰冻三尺，非一日之寒。也正如此，上级明确要求双减工作的原则，要遵循教育规律双减工作的目标，1年内有效减轻3年内成效显著现在才开学22天，就全线告捷了:97.5%的家长对各项措施和成效表示满意六成以上家长表示非常满意厉害了，我的教育部！我想说的是教育是一个慢活只能慢慢地快你现在飞得有多高，将来就跌得有多惨。03不给家长布置作业，这是教育万里长征的第一步开学22天，老师不给家长布置作业，老师满意了。老师不要求家长批改作业老师非常满意了。想一想，我都觉得好笑：写作业本来就是学生的任务，批改作业本来就是老师的工作。写作业也好，改作业也好，本来就没家长的事。现在只是把不该家长干的事，退回给学校，返还给老师，看把家长们乐呵的样子再想一想，也很可悲其实，我内心都在哭。04规定时间完成规定作业的”双规“，无视学生独一无二的价值教育部通气会说：64.3%的学校绝大部分学生能在规定时间内完成作业。看到64.3%这个数字，我松了一口气，庆幸，还有36.7%的学校没有被”双规“。我们习惯了工业流水生产的质量管理标准，然而，这个思路放到教育上去，我细思极恐。这个“双规”表达的意思是：在规定时间内完成规定作业的学生，是好学生在规定时间内完成规定作业的教育，是好教育我认为这个孩子做作业速度就是慢了一点，TA还是一个好学生，一个好孩子或许TA的世界，是一个慢世界吧我认为如果这个孩子无法完成规定作业TA还是一个好学生，一个好孩子或许TA的世界，是一个不写作业的世界吧我认为一个孩子来到这个世界“来到”这个本身，就是TA存在的价值和意义TA能完成”双规“作业，这是TA自己TA不能完成”双规“作业，这还是TA自己完成，或不完成，这不是一个问题完成，或不完成，都是TA自己教育能做到这个双减工作，成矣。05双减的根本目的，是帮助孩子找到学习的发动机晚上，我这个当爸的跟小学五年级的女儿聊了聊她眼中的双减爸爸：有了双减，你觉得这个学期怎么样？女儿：挺好的。爸爸：作业是不是少了很多？女儿：确实少了。不过，如果不用做作业，就更好了（笑着说）。爸爸：哦，我也觉得，如果已经会的知识点，还要做那么多的题目，意义也不太大。但不做呢，你也不知道哪些知识点会不会呀？女儿：也是哦（笑着说）。爸爸：除了这个作业，双减还有什么别的变化吗？女儿：我觉得这个双减是挺好的。但我觉得老师的讲话冒犯了我。爸爸：是吗，说来听听。女儿：老师跟我们说，这个双减呀，表面是减作业，实际上是淘汰你们这些学习不用功的。让那些成绩好的，上到好学校去。爸爸：哦，老师这样说呀？女儿：我觉得老师就是故意这样说的。虽然老师说的都对，事实也是这样。但是不爽。爸爸：在这个问题上，我觉得老师换一种说法，应该会更好。我想想哈，是不是应该这样说：这个双减呀，同学们的作业写少了，老师批改的也少了，这都挺好的。已经会了的知识点，同学们可以少做些。对于不会的知识点，同学们还是要多加练习，多写作业哈。你觉得怎么样？女儿：对呀，这样说就很好。爸爸：你还不错，老师这样说，你还能看到自己内心的感受。记住，任何时候，都要学会倾听自己内心的感受，这很重要的。女儿：那肯定，要不然，我很容易被别人压榨的。爸爸：是的，没有自己的感受，很容易丧失自己的。双减的真正目的是什么呢？减轻作业负担，减轻校外培训负担，这只能算是表层目的。深层目的是什么呢？学生身心健康成长。淘汰、晋级、成功，这是我们成年世界的法则，也是成年世界的残酷，甚至无情。我们年轻一代的父母，虽然看起来很多都很成功的样子，但内心的价值感，意义感，往往都匮乏，很大的原因是动力不足，因为那都是给社会逼的。回到小孩学习这个问题如果都是给老师，给家长逼的这个动力是不会持续的也会给小孩身心造成不好的影响。小孩不想写作业，深层次原因就是动力不足，因为都是被逼的。小孩很喜欢画画等等，深层次的原因就是动力十足，因为那是她发自内心深处的喜欢。杨振宁先生说，教育就是发现偏好，培养偏好，发展偏好。不管是从高考的小目标来说还是从人生成长的大目标来说发现孩子的偏好，那是启动孩子内心的发动机，动力会源源不断。“不好好学习会被淘汰”那是无力的说教、外力的威胁、逼迫，永远苍白无力。
65,正方发个言。小学二年级学生家长，答过问卷，填的就是非常满意。我所在的太原市区，开展小学生放学托管早于全国半年到一年。小学生托管大约到5点半至6点（按照防疫要求、错时离校）。托管完全自愿，不想托管的签承诺书，每天下午四点家长到校接人。不影响你回去鸡娃。参加托管的，小学低年级的作业基本可以在托管时间写完。随写、随交、随批。目前绝大多数学生都托管了。政府似乎一度想把午饭和午间托管的都做起来，就是把小饭桌的工作做了。但太原市是有午休的，学生在学校没法睡觉，遂作罢。小学高年级据说有社团活动（低年级在分校区，防疫压力之下没法跨校区组织活动）。国家严厉限制未成年人玩手机游戏，应该就是想引导学生回到人与人、面对面的社交里。现在的住宅小区里都是汽车，孩子们是没法和邻居玩了，孩子们想娱乐也只能在学校开展，所以未来可能会发展成日漫那样的，除了绝对宅男，大家都参加一两个小时社团活动，完全闭校后再回家。学生现实社交最麻烦的问题是校园霸凌，这个国家已经正视现实并高度重视，相关电影能过审公映就代表一种态度。学校大力开展了反霸凌宣传，老师对任何一丝苗头都严厉打击。我去省教育厅，看见反校园霸凌是和扫黑除恶是一个办公室的。体育课一周有好几节，但现在孩子金贵，受个小伤家长都没法接受，近年来我就没见过骨折的小学生（我学生时代很常见的）。所以体育课虽然课时够了，但也就是准备活动、慢跑、跳绳。。。。这个总不能怪学校和教育部门吧。一个不清楚的问题是减负以后学校考试是否按等级制打分。上学期末孩子眼睛红，就没参加考试和讲评（防疫期间，任何小毛病都要回家休养，我觉得这挺好，总比人人带病、全班咳嗽好得多，希望疫情结束后能保持），这学期再看看吧。
66,你对新学期减负政策满意吗？A.非常满意B.特别满意C.比较满意D.基本满意
67,主要是对小学影响较大，小学以上大概率是没啥影响的正常小学是3:30放学，现在加上课后延时5:30。我个人看这项政策不会让孩子太累，我上的小学是一个民办学校。应该也算是全市最好的几家之一当时从一年级开始就是6点放学，我寻思我要是小时候遇到这事儿兴许还能早放学，依稀记得初一那会儿一群家长抱怨什么6点放学孩子会不会太累呀？笑死都习惯了至于初中的课后延时。相当一部分初中都是有晚自习的，所以并不会有什么影响。大概率也只是把晚自习改了个名字叫课后延时罢了。再聊一聊作业个人觉得这个也比较到位。因为低年级确实没啥必须要手写练习的东西。我上次去书店看到桌子上一排卷子，仔细一看是小学一年级的期末考试冲刺恐怖如斯，一年级都开始卷。现在正好，低年级的知识本来也不需要用书写作业温习。平时买菜算一算，多开口说话，练一练打字就够了。高年级就要看是否真的减到实处了，小学的知识都属于一听就会级别的，真要开始细细理解的知识都要等到初二甚至高中了。练习也只是温习一下知识不要前学后忘。再加上数学的计算题确实需要一定练习才能保证正确率和速度。至于初中，我个人认为大概率是没有完全减下来，最有可能发展成各科老师都说我这作业一个半小时内能写完。笑死，人家说整体一个半小时，你一科就一个半小时。不过初中难度也没有那么大，不过要减也只是公办学校减少一点，当然像什么“致远班”“飞行班”还是照样累死（别问问就是从哪儿出来的最后是之前沸沸扬扬的补习班小学的话，奥数没了以后基本就没有任何必要了。一个智力正常的孩子，绝不可能连小学知识都听不懂，只有可能是他不好好学。打击大一点的就是初中了。尤其是初二面临的两极分化，确实会有一部分孩子从什么一次函数二元一次开始就听不懂，不过回家好好理解上半个小时分分钟搞清楚义务教育阶段是不会让你开始凭智商战斗的，高中可能还需要报几个班多理解理解，大学的话直接笑死根本听不懂所以对于想要拿好成绩但并没有那么多主角光环还有点不自律的孩子来说，补习班没了就直接是致命打击级别的但是据我所知，现在补习班应该都转周内了。好像是7点上到9点，那么课后延时写的作业就极为重要了，不然就要复刻各种半夜3点写完作业的新闻了还有是考试，这点就不多说了，不可能会有任何一个学校把月考完全取消。不然学生无法得到任何反馈来调整自己状态，个人认为这也是双减政策中唯一的败笔。总而言之，我对双减政策是抱有希望的，我也希望我的孩子将来可以享受到双减政策的好处，也希望各学校可以把双减政策减到实处不要再搞什么半学期规规矩矩，然后原形毕露的事了。
68,如果我是家长，我也点满意，因为学生都在学校里把作业做完了，有的甚至连晚饭都解决了，作为家长省了很大的力气。所以，我想大部分的家长都会拍手称好。不过，我认为这个只是直观上或者说短期上对家长的“好处”，“长期”看来，其实是不利于大部分普通家庭的。但是，普通家庭的家长可能也没有想那么长远，只关注眼前的“好处”。另外，建议教育部也对老师们做一个问卷调查，看看老师们对“双减”政策的满意度！做完之后估计也不会公布了……
69,如果我是家长，我也点满意，因为学生都在学校里把作业做完了，有的甚至连晚饭都解决了，作为家长省了很大的力气。所以，我想大部分的家长都会拍手称好。不过，我认为这个只是直观上或者说短期上对家长的“好处”，“长期”看来，其实是不利于大部分普通家庭的。但是，普通家庭的家长可能也没有想那么长远，只关注眼前的“好处”。另外，建议教育部也对老师们做一个问卷调查，看看老师们对“双减”政策的满意度！做完之后估计也不会公布了……
70,对于双减工作，作为家长你是什么感受。1.满意2.非常满意
71,我在想，有没有可能，春节前在火车上的所有乘客，都买到了春运的火车票
72,今天还和给我理发的大姐聊这事呢，大姐表示现在明令不许补课，都偷着补，原来选择性多，市场价格合理，现在补课普遍都贵了，因为人家也承担了部分风险……没办法请了本地大学生给补，能便宜点，但不知效果是否好。所以……我要举报！大学生兼职给人补课！！
73,泻药。作为一个经常设计调查问卷并且进行田野深度访谈的人，同时作为学生家长，上周刚填写了教育部基础教育司的那份双减问卷，我觉得我还是比较有发言权的。问卷设计方，问卷发放单位和问卷填写方三方立场不同，角度不同，希望收获的答案肯定会导致不同。设计方当然希望自己能收到最真实的反映，但发放单位肯定是希望收到自己满意的答案，填写方则会看发放单位是谁决定自己是否给出真实或相对真实的答案。举一个我工作中遇到的真实案例。19年11月，我去武汉调研当地基督教某团体近5年的情况，四个不同场合，全国主管部门办公室领导在场的情况下，或当地有关部门领导在场的情况下，或该团体负责人在场的情况下，上述相关领导不在场的情况下，该团体同样的受访者给出的数据是不一样的。这个在给家长调研双减效果的问卷答案中也能得到印证。如果问卷发放单位是大学或科研院所相关专家团队，而不是学校秉承上级命令机械的将问卷交给家长填写，我相信97.5%的满意率起码可以腰斩一半。从问卷设计角度来看，我相信设计方很想看到双减后是否会有实效。但从问卷发放方的角度来看，肯定是希望双减确实有实效。那么站在家长填写问卷角度来看，哪怕从技术上来看真的是匿名填写，但毫无疑问，我本人都是按照双减的标准答案填写的，自然是属于97.5%的范畴。
74,老师准备开始反扑了我们太善良才导致恶人如此猖狂
75,作为爸爸，确实感受明显，小学六年级作业比她二年级还要少了。就是辛苦老师们了，特别是下午还要带托管班的。
76,对于某条新闻，我印象深刻：某市人民喜迎水费上涨…
77,人类的大脑占身体总重约为2%，所以这次的满意率可以说相当精确。
78,什么？我家这边的调查还没开始你们就出结论了？你问为什么我知道我家这边的调查还没开始？因为我们刚接了任务挨家挨户通知给好评
79,我家娃晚上8点之前从来做不完作业，但我还是只能咬牙切齿地配合老师说“满意”。老师是这么说的：我问了下咱班家长，基本上孩子都能在学校完成作业，表现很好，有没有做不完的孩子？我总不能在群里承认我家娃比别人傻吧！
80,作为一个私立小学孩子的哥哥，我只能说:减他吗的臭嗨。我弟弟所在的学校，之前就有过要孩子补课的行为，不补课的孩子放学就留下来扫地，搞得不补课的孩子成为了班级的异类。由于家里离学校比较远的缘故，我弟弟每天扫完地回家都很晚了，在老师明牌说明不补课就扫地的情况下，我妈交了六百去补这几把课。双减一出来我就知道，他们老师找到合理的理由来补课了。果不其然，这学期五个孩子不补课，又是每天扫地。老师直接一句，要强制课后服务。只能说看着图一乐吧，再好的政策，麻烦爷们低下头看看基层。我弟的老师都六十了，现在还用着以前的教学方式，完全跟不上时代。你搁这双减，咋不把这几把老师减了，哈哈。
81,教育部称97.5%的家长对新学期减负满意，双减工作具体成效如何？中新网客户端9月23日电(记者郎朗)9月23日，教育部召开通气会。会上介绍，根据基础教育“双减”工作监测平台直报信息，截至9月22日，有16万所义务教育学校填报了有关信息，其中92.1%的学校建立了校内作业公示制度，64.3%的学校绝大部分学生能在规定时间内完成作业。监测平台以二维码形式邀请家长无记名通过网络直接填写调查问卷，共收到5737.7万份家长问卷，99.6%的学生家长反映，本学期老师没有给家长布置作业或要求家长批改作业。基础教育“双减工作”监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。家长不欢迎政策推行不下去的
82,是不是前几天那个匿名网上调查啊。我们班建了个家长群。班主任特意不在家长群里面。班主任只在班群，家委会又建了个家长群。家委会成员们，都把答案打上去了。我们按照家委会指示做就行。家委会表示很满意。我们肯定也很满意啊。做完还得发截图呢。家委会还得监督家长完成情况。什么七点必须到校，六点放学，下一步都得去上晚自习到九点左右。这些情况都没有了，都改善了。家委会说改善了，那肯定改善了啊这些上学晚自习啥的，也还罢了。我最恶心的是，公立学校，自己搞校服。网上几十块的同款同料的他卖一百多。还必须买两件夏秋装两件，一件110，秋冬装两件，一件130，冲锋衣两件，一件248。军训服一件50。这就一千块了。恶心衣服，集体采购买这么多还这么贵。（对比同款便宜的要死）尤其恶心军训服，初中只军训了三天上午。军训服就是淘宝拼多多那种垃圾的，23块钱一身包括帽子包邮那种。学校买了一千多件，50一件！牛。
83,只是单纯眼熟。为什么眼熟呢？97.5%是我毕业论文编的数据之一。我导师一眼就说，这种7.5，2.5，2.8什么的不是自然统计结果。
84,勃列日涅夫胸前又多了一枚闪闪发光的勋章
85,这种调查有何意义？满意不满意你们自己心里不清楚？搞双减的家里都没孩子？就我目前看到的，学区房依然昂贵，补习班照常展开，家长照样要陪孩子做作业。有了晚托班，但只晚托到5，6点，掐在家长下班时点早不早晚不晚。成效这种东西，靠问卷调查要是能得到，那我们做个问卷跑步进入共同富裕社会吧。
86,这种调查问卷是怎么调查的大家也都明白，毕竟也是过来人，上学时这种调差问卷也做过不少了。
87,大家好，我们是爱学仕，致力于教育公平的数智化服务商！99.6%学生家长反映：本学期老师没有给家长布置作业或要求家长批改作业根据基础教育“双减”工作监测平台直报信息，截至9月22日，有16万所义务教育学校填报了有关信息，其中98.2%的学校出台了作业管理办法，92.1%的学校建立了校内作业公示制度，64.3%的学校绝大部分学生能在规定时间内完成作业。监测平台以二维码形式邀请家长无记名通过网络直接填写调查问卷，共收到5737.7万份家长问卷，99.6%的学生家长反映，本学期老师没有给家长布置作业或要求家长批改作业。96.3%的学校提供了课后服务，学生参加率85%基础教育“双减”工作监测平台数据显示，截至9月22日，全国有10.8万所义务教育学校(不含寄宿制学校和村小学)已填报课后服务信息，其中96.3%的学校提供了课后服务；有7743.1万名学生参加了课后服务，学生参加率85%，其中有71.2%的学生每周5天全程参加；534.5万名教师参与课后服务工作，占这些学校教师数的86.2%，另聘请了20.6万名校外专业人员参与课后服务工作。98.03%的学校做到了起始年级“零起点”教学在已填报信息的13.4万所小学中，有98.03%的学校做到了起始年级“零起点”教学。教育部基础教育教学指导委员会及各专委会分学科、分领域加强调研指导。各地各校高度重视课堂教学，强化教研、精心备课，补齐教学短板，努力提高课堂教学效率，普遍建立学习困难学生帮扶制度，监测平台数据显示，98.6%的学校建立了学习困难学生的帮扶制度。充分发挥国家中小学网络云平台和电视“空中课堂”作用，向中小学生免费提供各年级、各学科全覆盖的优质课程资源。9月1日至22日，云平台浏览次数达到7.02亿，访问人次3.06亿。97.5%的家长对减负提质措施和成效表示满意基础教育“双减”工作监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。“总体看，新学期学校落实‘双减’工作呈现了新变化新面貌，社会反响良好，学生学习回归了校园，回家写作业时间短了，在小区里玩的孩子多了，课后生活更丰富多彩了”，吕玉刚介绍，下一步，将按照中央“双减”文件精神和教育部党组关于打好“双减百日会战”的部署要求，以“深、细、严、实”的工作作风，进一步加大工作力度，大力宣传推广典型经验，确保“双减”在第一个学期取得积极成效，为全面实现“双减”工作目标奠定良好基础。在总体思路上，瞄准一个定位，将校内减负提质作为“双减”工作的治本之策，强化学校教育主阵地作用，使学生学习更好回归校园；坚持两个并重，“减负”和“提质”两手抓、两手都要硬，做到持之以恒、久久为功；强化三个提高，提高作业管理水平、提高课后服务水平、提高课堂教学质量，做到教师应教尽教、学生学足学好；落实四个严格，严格均衡分班、严格教学要求、严格作业调控、严格考试管理，有效解决家长急难愁盼问题，努力缓解教育焦虑。
88,请问您对自己的收入是否满意？A.满意B.非常满意C.十分满意D.以上答案都对
89,我是中原省某四线城市郊区的一名任课教师，我已经在农村教学岗位上奋斗了26个春秋。这么多年，我苦过，累过，哭过，笑过。我虽然见惯了教育上的风风雨雨，但自从今年春天以来，面对眼花缭乱的“双减”政策，我和我的同事们都感到无所适从。“双减”落地生根小半年了，效果到底如何，也是仁者见仁、智者见智。我作为一名普通老师，觉得既然“双减”非做不可，那么首先应该做的，就是一定要提高老师们的幸福感！01壹“双减”政策的核心是“5+2”课后延时服务，也就是每星期延时5天，每天延时2个小时。这样一来，学校的下午放学时间要比当地职工的下班时间晚半个小时，让家长有充裕的时间去接孩子。这个想法是好的，充分照顾到了家长们的利益诉求。但延时服务的管理主体和执行者可是学校和老师。因为要进行课后延时服务，学校要提供场地，器材，提供老师，这肯定增加了管理成本和运营成本；而老师们要牺牲得更多，原来的课余时间变成了正常的上班时间，严重打乱了原先的生活节奏，让人很不适应。比如像我们农村小学，原先冬天下午4：30就放学了，实施课后延时后，下午放学时间推迟到了6点。而北方的冬天天黑得很早，下午5点天就黑了，等到放学的时候，早已经是万家灯火了。农村的老师们一般都住在城里，以前下午放学后，骑车或者开车回家，大约半个小时，一般六点半左右就吃过晚饭了。而现在呢，六点多的才刚刚把学生送出校园，或者正急匆匆地往家赶路。所以说，在双减实施以后，老师们是付出最大的群体。02贰现在实施“双减”以后，小学一二年级不允许进行纸笔考试，其他年级每学期只能进行一次考试；一至二年级不允许布置家庭作业，三至六年级的家庭作业不能超过60分钟。但上级要求在给学生全面减负的基础上，力争大面积提升教学质量，这就给现阶段的老师们提出了更高的要求。一方面是减负，另一方面是要成绩，两方面都要兼顾到，这就叫做“减负增效”。为了达到上述目的，上级主管部门也是不余遗力，双管齐下。一个个巡视组被派到学校检查，一进校园就走进班级，翻看学生们的书包，看里面有没有违规教辅资料。然后座谈老师和学生，看有没有办班、家庭作业超额、违规考试等情况。最后，坐在会议室里面扒档案，看“双减”、五项管理和课后服务的资料，主要看制度是否健全，致家长一封信，教师签订的各种责任书是否周全。另一方面，教研室、教师进修学校等部门召开了一系列的有关“双减”的会议，对老师们进行一轮又一轮的网上在线培训和线下培训。目的只有一个，就是如何让老师们在减负的背景下提高课堂教学质量的方法。我们乡也迅速跟进，召开专题会议，对上一学年的期末成绩进行表彰，物质奖励加上精神奖励，把这次活动推向了高潮。并且，有小道消息说，局长非常看重成绩，等到期底肯定要进行大排名。成绩差的学校，校长直接免职，学科后三名的老师通报批评。为了能够“减负增效”，我们学校也顺势而为。原来间周进行一次教研活动，现在改成了每周都教研；学校领导班子不定时推门听课，对作业教案的检查更为频繁……老师们都觉得这一学期的工作节奏猛地加快了许多，学校这样做的目的只有一个，就是抓成绩。当然，老师们也说，要想抓成绩，玩那些虚头巴脑的东西用处不大，成绩都是抠出来的。学生平时练习量不够，题型见得少，到时候一考试肯定蒙圈。撑死胆大的饿死胆小的，为了成绩，已经有人铤而走险，偷偷让学生买了一些教辅资料。看来，为了不挨批，老师们“卷”得越来越厉害了。03叁这一学期开学后，感觉比以前更忙了。老师们从早上七点多来到学校，一直忙到天黑透，就没有闲的时候：校门口值班，学生晨读、午写、暮省，打扫卫生，备课、上课、听课、议课、教研……这些只是常规的忙，而教学以外的忙只会更多。安全教育平台完成率如果没有达到100%，需要班主任与家长进行沟通，如果沟通不畅，老师们就只能代做；家长疫苗接种和学生疫苗接种，老师们需要登记和统计，并及时催促，查漏补缺；师德师风大学习、大讨论、大整治活动，需要及时补齐制度、方案、计划、记录、图片、总结；“万师课外访万家”活动，需要老师们整理计划、总结和家访记录……进入十月份，乡里和区里交叉进行的活动多了起来。微型课、基本功大赛、青年教师技能大赛、教研室的学科优质课、电教站的信息技术与学科融合优质课、大教研等活动相继展开。学校教学公开月、校际交流观摩课也安排得满满的。班主任工作经验交流会、教案作业检查等工作也开始了。进入十一月份，防辍保学、体育达标测试、学生资助、冬季安全检查、文明城市创建、科学普及、均衡检查、春风扶贫、督导评估等工作也开始了。从开学到现在，各种进校园活动和APP推广活动层出不穷。戏曲进校园、法治进校园……安全“三重体系”APP、“金钟罩”反诈APP、全国青少年普法网……所有的任务都要求生成学生账号进行学习，争取不落下一人，上级定时统计活动完成情况和参与率，对落后的学校进行通报批评。科技创新大赛、汉字大赛、校园心理剧大赛、全省青少年科学素质大赛、科普日、慈善征文等等层出不穷，让老师、学生和家长疲于应付。我举一个例子。我表弟家的孩子今年刚上一年级，各种形式主义的东西就已经缠住他了。比如学校发了通知，让家长陪着孩子收看《中小学生家庭教育之如何应对校园欺凌》教育专题节目，然后要求写一份200字的观后感，他不会写，让我给他写，我只得编了一篇应付了一下。没过几天，他又说学校通知让观看《“双减”政策家庭教育系列讲座》，然后让家长写一篇1000字的心得体会，他不会写央求我完成一下。表弟现在对学校意见很大，总认为学校在没事找事。我也很委屈，表弟的孩子就读的学校是这样的，难道我所在的学校就不是这样的吗？我也得把这样的任务布置给我的学生们，因为这些任务都是上面安排下来的。况且我还得为我的孩子完成“青年大学习”和“青骄课堂”的内容。除了上面说的，像各种表格统计、图片留痕、拼图、美篇、新闻稿等等不一而足。难怪老师们都说，现在只能抽空给学生上课了，还说，现在如果能安安生生的上课，就是最大的满足。04结语施行“双减”后，老师们的在校时间大大延长了，这无疑增加了老师们的工作负担，也更容易让他们产生心理倦怠。如果有关部门能认真倾听老师们的心声，大量减少他们的教学外负担，让他们真正的回归课堂，那么，老师们的心理就容易找到平衡，他们的幸福感也许不会降低太多。如果有关部门能够摒弃“唯分数”论，不再一味地给老师们加压，让老师们静下心来，潜心钻研教育教学本质的东西，相信老师们的幸福指数还能提高不少。我们所在的四线城市一直没有说课后服务补助的事情，因为一直没有让家长缴费，估计大概率会泡汤。这也意味着，老师们增加的工作时间和工作量都是公益性质的。考虑到现阶段老师们的平均寿命只有59.3岁，在实施课后服务的背景下，如果其他负担变本加厉，老师们的平均寿命随着生存生态的恶化，会不会进一步降低，还是个未知数。最后，我想说，我是教师，为了我们的幸福感，非常期待有温情的教育环境！图/来源于网络，如有侵权请联系删除文/来源于师说123，敬请大家点赞、收藏、分享和关注
90,张口就来97.5%满意？咋不写100%呢？究竟在哪里调查的？有多少家长参与？从农村到城市，从公立到私立，从文盲家长到高学历家长，比例如何？这些信息能公开吗？
91,以下内容实属虚构，如有雷同纯属巧合。你以为的调查：这里有一份调查问卷，请填好后告诉我。实际上的调查：这里有一份调查问卷和参考答案，请填好。那2.5%才是真的猛士。
92,我也满意，特别满意。我是老门，门老师，祝好。
93,教育部这三个字就是讽刺不过话说回来教育系统对老师还是可以的至少待遇还不错比私企猪扒皮好太多了
94,我曾做过一份问卷调查，问：是否对xxx满意，两个选项，A.满意；B.非常满意；没了。
95,成都市当年禁放烟花和批准放烟花99%的市民都是表示支持的
96,满意归满意，顾虑还很多，效果如何更有待时间考验。
97,来更新了，刚才朋友给我打电话，已经开始焦虑了。作业布置的太少了，家长慌了，问怎么办？她们家孩子只听老师的，家长加点作业孩子不乐意。作为家委会主席同志的老公，我一个人填了五份……怎么说呢，这种调查完全没有意义，除了给学校和老师家长增加负担外一无是处。但双减的确是有成效的，很多机构都关门或者正在关门。我家娃也能提前放学了，可以在其他大几十个娃在教室里挤着写作业的时候出来打打球，吃点好吃的。
98,剩下那部分应该是实在没有手机，不会上网，不能扫码选择满意，很满意，非常满意的人吧。
